country,date,total_cases,total_cases_per_million,total_deaths,total_deaths_per_million,total_vaccinations,people_vaccinated,people_fully_vaccinated,people_fully_vaccinated_per_hundred,code,continent,population,median_age,new_cases,new_deaths,new_vaccinations,trend_status
Vietnam,2020-01-31,2.0,0.020064073,0.0,0.0,,,,,VNM,Asia,99680656.0,31.9379997253418,2.0,0.0,0.0,Insufficient data
Mayotte,2020-01-31,0.0,0.0,0.0,0.0,,,,,MYT,Africa,305279.0,16.697999954223633,0.0,0.0,0.0,Insufficient data
Austria,2020-01-31,0.0,0.0,0.0,0.0,,,,,AUT,Europe,9064678.0,42.83200073242188,0.0,0.0,0.0,Improving
Andorra,2020-01-31,0.0,0.0,0.0,0.0,,,,,AND,Europe,79722.0,42.83200073242188,0.0,0.0,0.0,Insufficient data
Djibouti,2020-01-31,0.0,0.0,0.0,0.0,,,,,DJI,Africa,1137101.0,24.084999084472656,0.0,0.0,0.0,Insufficient data
United States Virgin Islands,2020-01-31,0.0,0.0,0.0,0.0,,,,,VIR,North America,86521.0,44.57099914550781,0.0,0.0,0.0,Insufficient data
Congo,2020-01-31,0.0,0.0,0.0,0.0,,,,,COG,Africa,6035104.0,18.20199966430664,0.0,0.0,0.0,Insufficient data
Saint Barthelemy,2020-01-31,0.0,0.0,0.0,0.0,,,,,BLM,North America,10948.0,38.70700073242188,0.0,0.0,0.0,Insufficient data
Reunion,2020-01-31,0.0,0.0,0.0,0.0,,,,,REU,Africa,871543.0,37.06499862670898,0.0,0.0,0.0,Insufficient data
Russia,2020-01-31,0.0,0.0,0.0,0.0,,,,,RUS,Europe,145579889.0,39.07099914550781,0.0,0.0,0.0,Insufficient data
China,2020-01-31,9720.0,6.8201933,213.0,0.14945485,,,,,CHN,Asia,1425179562.0,38.53400039672852,9720.0,213.0,0.0,Insufficient data
Norway,2020-01-31,0.0,0.0,0.0,0.0,,,,,NOR,Europe,5456796.0,39.43600082397461,0.0,0.0,0.0,Stable
Cambodia,2020-01-31,1.0,0.058133718,0.0,0.0,,,,,KHM,Asia,17201721.0,25.59600067138672,1.0,0.0,0.0,Insufficient data
Bermuda,2020-01-31,0.0,0.0,0.0,0.0,,,,,BMU,North America,64772.0,44.70299911499024,0.0,0.0,0.0,Insufficient data
Monaco,2020-01-31,1.0,25.67394,0.0,0.0,,,,,MCO,Europe,38950.0,54.97499847412109,1.0,0.0,0.0,Insufficient data
Thailand,2020-01-31,14.0,0.19516188,0.0,0.0,,,,,THA,Asia,71735321.0,39.19400024414063,14.0,0.0,0.0,Increasing
Burkina Faso,2020-01-31,0.0,0.0,0.0,0.0,,,,,BFA,Africa,22509038.0,17.041000366210938,0.0,0.0,0.0,Insufficient data
Switzerland,2020-01-31,0.0,0.0,0.0,0.0,,,,,CHE,Europe,8792180.0,41.96099853515625,0.0,0.0,0.0,Improving
Bosnia and Herzegovina,2020-01-31,0.0,0.0,0.0,0.0,,,,,BIH,Europe,3204802.0,44.55899810791016,0.0,0.0,0.0,Insufficient data
Tokelau,2020-01-31,0.0,0.0,0.0,0.0,,,,,TKL,Oceania,2312.0,26.55500030517578,0.0,0.0,0.0,Insufficient data
Sri Lanka,2020-01-31,1.0,0.04379249,0.0,0.0,,,,,LKA,Asia,22834965.0,32.56100082397461,1.0,0.0,0.0,Insufficient data
Cook Islands,2020-01-31,0.0,0.0,0.0,0.0,,,,,COK,Oceania,14747.0,34.10900115966797,0.0,0.0,0.0,Insufficient data
Moldova,2020-01-31,0.0,0.0,0.0,0.0,,,,,MDA,Europe,3039986.0,37.47800064086914,0.0,0.0,0.0,Insufficient data
Eritrea,2020-01-31,0.0,0.0,0.0,0.0,,,,,ERI,Africa,3409450.0,18.405000686645508,0.0,0.0,0.0,Insufficient data
French Polynesia,2020-01-31,0.0,0.0,0.0,0.0,,,,,PYF,Oceania,280388.0,34.15999984741211,0.0,0.0,0.0,Insufficient data
New Zealand,2020-01-31,0.0,0.0,0.0,0.0,,,,,NZL,Oceania,5131731.0,37.06800079345703,0.0,0.0,0.0,Insufficient data
Japan,2020-01-31,12.0,0.096001856,0.0,0.0,,,,,JPN,Asia,124997585.0,48.54800033569336,12.0,0.0,0.0,Insufficient data
Guam,2020-01-31,0.0,0.0,0.0,0.0,,,,,GUM,Oceania,165193.0,30.979999542236328,0.0,0.0,0.0,Insufficient data
North Korea,2020-01-31,0.0,0.0,0.0,0.0,,,,,PRK,Asia,26328843.0,35.80500030517578,0.0,0.0,0.0,Insufficient data
Fiji,2020-01-31,0.0,0.0,0.0,0.0,,,,,FJI,Oceania,919428.0,27.475000381469727,0.0,0.0,0.0,Insufficient data
Somalia,2020-01-31,0.0,0.0,0.0,0.0,,,,,SOM,Africa,17801895.0,15.371000289916992,0.0,0.0,0.0,Insufficient data
Palestine,2020-01-31,0.0,0.0,0.0,0.0,,,,,PSE,Asia,5305274.0,19.604999542236328,0.0,0.0,0.0,Insufficient data
Costa Rica,2020-01-31,0.0,0.0,0.0,0.0,,,,,CRI,North America,5081764.0,33.5359992980957,0.0,0.0,0.0,Improving
Saint Martin (French part),2020-01-31,0.0,0.0,0.0,0.0,,,,,MAF,North America,28899.0,38.400001525878906,0.0,0.0,0.0,Insufficient data
Transnistria,2020-01-31,,,,,,,,,OWID_TRS,Europe,,,0.0,0.0,0.0,Insufficient data
Brunei,2020-01-31,0.0,0.0,0.0,0.0,,,,,BRN,Asia,455374.0,31.275999069213867,0.0,0.0,0.0,Insufficient data
Saint Pierre and Miquelon,2020-01-31,0.0,0.0,0.0,0.0,,,,,SPM,North America,5760.0,45.98899841308594,0.0,0.0,0.0,Insufficient data
Singapore,2020-01-31,13.0,2.3009305,0.0,0.0,,,,,SGP,Asia,5649888.0,34.87799835205078,13.0,0.0,0.0,Insufficient data
Kyrgyzstan,2020-01-31,0.0,0.0,0.0,0.0,,,,,KGZ,Asia,6955792.0,24.975000381469727,0.0,0.0,0.0,Insufficient data
Bonaire Sint Eustatius and Saba,2020-01-31,0.0,0.0,0.0,0.0,,,,,BES,North America,28654.0,39.77299880981445,0.0,0.0,0.0,Insufficient data
Myanmar,2020-01-31,0.0,0.0,0.0,0.0,,,,,MMR,Asia,53756791.0,29.250999450683597,0.0,0.0,0.0,Insufficient data
Ghana,2020-01-31,0.0,0.0,0.0,0.0,,,,,GHA,Africa,33149152.0,20.73600006103516,0.0,0.0,0.0,Insufficient data
American Samoa,2020-01-31,0.0,0.0,0.0,0.0,,,,,ASM,Oceania,48365.0,27.927000045776367,0.0,0.0,0.0,Insufficient data
Barbados,2020-01-31,0.0,0.0,0.0,0.0,,,,,BRB,North America,282324.0,38.652000427246094,0.0,0.0,0.0,Insufficient data
Syria,2020-01-31,0.0,0.0,0.0,0.0,,,,,SYR,Asia,22462170.0,21.58799934387207,0.0,0.0,0.0,Insufficient data
Greenland,2020-01-31,0.0,0.0,0.0,0.0,,,,,GRL,North America,56014.0,33.92399978637695,0.0,0.0,0.0,Insufficient data
Trinidad and Tobago,2020-01-31,0.0,0.0,0.0,0.0,,,,,TTO,North America,1495923.0,36.22600173950195,0.0,0.0,0.0,Insufficient data
Gabon,2020-01-31,0.0,0.0,0.0,0.0,,,,,GAB,Africa,2430750.0,21.475000381469727,0.0,0.0,0.0,Insufficient data
New Caledonia,2020-01-31,0.0,0.0,0.0,0.0,,,,,NCL,Oceania,287130.0,33.5890007019043,0.0,0.0,0.0,Insufficient data
South Korea,2020-01-31,11.0,0.21242692,0.0,0.0,,,,,KOR,Asia,51782515.0,43.94400024414063,11.0,0.0,0.0,Insufficient data
Belarus,2020-01-31,0.0,0.0,0.0,0.0,,,,,BLR,Europe,9173240.0,40.19200134277344,0.0,0.0,0.0,Stable
Saint Vincent and the Grenadines,2020-01-31,0.0,0.0,0.0,0.0,,,,,VCT,North America,102063.0,33.632999420166016,0.0,0.0,0.0,Insufficient data
Montserrat,2020-01-31,0.0,0.0,0.0,0.0,,,,,MSR,North America,4476.0,41.3849983215332,0.0,0.0,0.0,Insufficient data
Guadeloupe,2020-01-31,0.0,0.0,0.0,0.0,,,,,GLP,North America,384702.0,45.86299896240234,0.0,0.0,0.0,Insufficient data
Jersey,2020-01-31,0.0,0.0,0.0,0.0,,,,,JEY,Europe,103493.0,42.867000579833984,0.0,0.0,0.0,Insufficient data
Kuwait,2020-01-31,0.0,0.0,0.0,0.0,,,,,KWT,Asia,4589514.0,33.4630012512207,0.0,0.0,0.0,Insufficient data
Sweden,2020-01-31,0.0,0.0,0.0,0.0,,,,,SWE,Europe,10487335.0,39.72800064086914,0.0,0.0,0.0,Improving
British Virgin Islands,2020-01-31,0.0,0.0,0.0,0.0,,,,,VGB,North America,38346.0,37.119998931884766,0.0,0.0,0.0,Insufficient data
Pakistan,2020-01-31,0.0,0.0,0.0,0.0,,,,,PAK,Asia,243700667.0,20.14800071716309,0.0,0.0,0.0,Insufficient data
Gibraltar,2020-01-31,0.0,0.0,0.0,0.0,,,,,GIB,Europe,37631.0,38.948001861572266,0.0,0.0,0.0,Insufficient data
Greece,2020-01-31,0.0,0.0,0.0,0.0,,,,,GRC,Europe,10412481.0,45.39099884033203,0.0,0.0,0.0,Improving
Benin,2020-01-31,0.0,0.0,0.0,0.0,,,,,BEN,Africa,13759507.0,17.645999908447266,0.0,0.0,0.0,Insufficient data
Niger,2020-01-31,0.0,0.0,0.0,0.0,,,,,NER,Africa,25311978.0,15.10200023651123,0.0,0.0,0.0,Insufficient data
Belgium,2020-01-31,0.0,0.0,0.0,0.0,,,,,BEL,Europe,11641814.0,41.1510009765625,0.0,0.0,0.0,Stable
Cayman Islands,2020-01-31,0.0,0.0,0.0,0.0,,,,,CYM,North America,71610.0,37.499000549316406,0.0,0.0,0.0,Insufficient data
Niue,2020-01-31,0.0,0.0,0.0,0.0,,,,,NIU,Oceania,1844.0,36.72100067138672,0.0,0.0,0.0,Insufficient data
Sudan,2020-01-31,0.0,0.0,0.0,0.0,,,,,SDN,Africa,49383344.0,18.1200008392334,0.0,0.0,0.0,Insufficient data
Finland,2020-01-31,1.0,0.17955577,0.0,0.0,,,,,FIN,Europe,5569300.0,42.5260009765625,2.0,0.0,0.0,Improving
France,2020-01-31,3.0,0.046672694,0.0,0.0,,,,,FRA,Europe,66277412.0,41.56700134277344,3.0,0.0,0.0,Insufficient data
Suriname,2020-01-31,0.0,0.0,0.0,0.0,,,,,SUR,South America,623172.0,27.864999771118164,0.0,0.0,0.0,Insufficient data
Philippines,2020-01-31,1.0,0.0087746745,0.0,0.0,,,,,PHL,Asia,113964343.0,24.86599922180176,1.0,0.0,0.0,Insufficient data
Burundi,2020-01-31,0.0,0.0,0.0,0.0,,,,,BDI,Africa,13321102.0,15.67199993133545,0.0,0.0,0.0,Insufficient data
Nigeria,2020-01-31,0.0,0.0,0.0,0.0,,,,,NGA,Africa,223150906.0,17.566999435424805,0.0,0.0,0.0,Insufficient data
Morocco,2020-01-31,0.0,0.0,0.0,0.0,,,,,MAR,Africa,37329068.0,28.875,0.0,0.0,0.0,Insufficient data
Cote d'Ivoire,2020-01-31,,,,,,,,,CIV,Africa,30395004.0,17.992000579833984,0.0,0.0,0.0,Insufficient data
Egypt,2020-01-31,0.0,0.0,0.0,0.0,,,,,EGY,Africa,112618252.0,23.8129997253418,0.0,0.0,0.0,Insufficient data
Brazil,2020-01-31,0.0,0.0,0.0,0.0,,,,,BRA,South America,210306411.0,33.50600051879883,0.0,0.0,0.0,Improving
Croatia,2020-01-31,0.0,0.0,0.0,0.0,,,,,HRV,Europe,3907031.0,44.61100006103516,0.0,0.0,0.0,Improving
Paraguay,2020-01-31,0.0,0.0,0.0,0.0,,,,,PRY,South America,6760460.0,26.045000076293945,0.0,0.0,0.0,Insufficient data
Estonia,2020-01-31,0.0,0.0,0.0,0.0,,,,,EST,Europe,1350093.0,41.625,0.0,0.0,0.0,Improving
Mozambique,2020-01-31,0.0,0.0,0.0,0.0,,,,,MOZ,Africa,32656242.0,16.249000549316406,0.0,0.0,0.0,Insufficient data
Peru,2020-01-31,0.0,0.0,0.0,0.0,,,,,PER,South America,33475436.0,29.09600067138672,0.0,0.0,0.0,Improving
Albania,2020-01-31,0.0,0.0,0.0,0.0,,,,,ALB,Europe,2827614.0,35.94300079345703,0.0,0.0,0.0,Insufficient data
Slovakia,2020-01-31,0.0,0.0,0.0,0.0,,,,,SVK,Europe,5473195.0,40.90399932861328,0.0,0.0,0.0,Improving
Eswatini,2020-01-31,0.0,0.0,0.0,0.0,,,,,SWZ,Africa,1218921.0,21.76799964904785,0.0,0.0,0.0,Insufficient data
Algeria,2020-01-31,0.0,0.0,0.0,0.0,,,,,DZA,Africa,45477391.0,27.982999801635746,0.0,0.0,0.0,Insufficient data
Mongolia,2020-01-31,0.0,0.0,0.0,0.0,,,,,MNG,Asia,3386015.0,26.617000579833984,0.0,0.0,0.0,Insufficient data
French Guiana,2020-01-31,0.0,0.0,0.0,0.0,,,,,GUF,South America,298319.0,25.23500061035156,0.0,0.0,0.0,Insufficient data
Grenada,2020-01-31,0.0,0.0,0.0,0.0,,,,,GRD,North America,116928.0,32.88600158691406,0.0,0.0,0.0,Insufficient data
Nicaragua,2020-01-31,0.0,0.0,0.0,0.0,,,,,NIC,North America,6730662.0,24.91200065612793,0.0,0.0,0.0,Insufficient data
Botswana,2020-01-31,0.0,0.0,0.0,0.0,,,,,BWA,Africa,2439895.0,22.60400009155273,0.0,0.0,0.0,Insufficient data
